ESTADO,PRODUTO,ANO,DATA FINAL,PREÇO MÉDIO REVENDA,VARIAÇÃO
SAO PAULO,GASOLINA COMUM,2018,2018-03-24,3.988,-0.015000000000000124
SAO PAULO,GASOLINA COMUM,2018,2018-03-31,3.992,0.0040000000000000036
SAO PAULO,GASOLINA COMUM,2018,2018-04-07,4.007,0.01499999999999968
SAO PAULO,GASOLINA COMUM,2018,2018-04-14,4.008,0.001000000000000334
SAO PAULO,GASOLINA COMUM,2018,2018-04-21,4.006,-0.0019999999999997797
SAO PAULO,GASOLINA COMUM,2018,2018-04-28,4.035,0.028999999999999915
SAO PAULO,GASOLINA COMUM,2018,2018-05-05,4.005,-0.03000000000000025
SAO PAULO,GASOLINA COMUM,2018,2018-05-12,4.032,0.027000000000000135
SAO PAULO,GASOLINA COMUM,2018,2018-05-19,4.056,0.02400000000000002
SAO PAULO,GASOLINA COMUM,2018,2018-05-26,4.196,0.13999999999999968
SAO PAULO,GASOLINA COMUM,2018,2018-06-02,4.502,0.30600000000000005
SAO PAULO,GASOLINA COMUM,2018,2018-06-09,4.416,-0.08599999999999941
SAO PAULO,GASOLINA COMUM,2018,2018-06-16,4.349,-0.06700000000000017
SAO PAULO,GASOLINA COMUM,2018,2018-06-23,4.326,-0.023000000000000576
SAO PAULO,GASOLINA COMUM,2018,2018-06-30,4.274,-0.0519999999999996
SAO PAULO,GASOLINA COMUM,2018,2018-07-07,4.272,-0.0019999999999997797
SAO PAULO,GASOLINA COMUM,2018,2018-07-14,4.259,-0.0129999999999999
SAO PAULO,GASOLINA COMUM,2018,2018-07-21,4.268,0.008999999999999453
SAO PAULO,GASOLINA COMUM,2018,2018-07-28,4.241,-0.027000000000000135
SAO PAULO,GASOLINA COMUM,2018,2018-08-04,4.235,-0.005999999999999339
SAO PAULO,GASOLINA COMUM,2018,2018-08-11,4.221,-0.014000000000000234
SAO PAULO,GASOLINA COMUM,2018,2018-08-18,4.208,-0.0129999999999999
SAO PAULO,GASOLINA COMUM,2018,2018-08-25,4.189,-0.019000000000000128
SAO PAULO,GASOLINA COMUM,2018,2018-09-01,4.224,0.03500000000000014
SAO PAULO,GASOLINA COMUM,2018,2018-09-08,4.296,0.07200000000000006
SAO PAULO,GASOLINA COMUM,2018,2018-09-15,4.409,0.11299999999999955
SAO PAULO,GASOLINA COMUM,2018,2018-09-22,4.414,0.004999999999999893
SAO PAULO,GASOLINA COMUM,2018,2018-09-29,4.476,0.06200000000000028
SAO PAULO,GASOLINA COMUM,2018,2018-10-06,4.469,-0.006999999999999673
SAO PAULO,GASOLINA COMUM,2018,2018-10-13,4.499,0.02999999999999936
SAO PAULO,GASOLINA COMUM,2018,2018-10-20,4.512,0.0129999999999999
SAO PAULO,GASOLINA COMUM,2018,2018-10-27,4.506,-0.005999999999999339
SAO PAULO,GASOLINA COMUM,2018,2018-11-03,4.49,-0.016000000000000014
SAO PAULO,GASOLINA COMUM,2018,2018-11-10,4.452,-0.038000000000000256
SAO PAULO,GASOLINA COMUM,2018,2018-11-17,4.377,-0.07500000000000018
SAO PAULO,GASOLINA COMUM,2018,2018-11-24,4.332,-0.04499999999999993
SAO PAULO,GASOLINA COMUM,2018,2018-12-01,4.291,-0.04099999999999948
SAO PAULO,GASOLINA COMUM,2018,2018-12-08,4.187,-0.10400000000000009
SAO PAULO,GASOLINA COMUM,2018,2018-12-15,4.148,-0.03900000000000059
SAO PAULO,GASOLINA COMUM,2018,2018-12-22,4.129,-0.019000000000000128
SAO PAULO,GASOLINA COMUM,2018,2018-12-29,4.129,0.0
SAO PAULO,GASOLINA COMUM,2018,2019-01-05,4.113,-0.015999999999999126
